index,query_id,query,results,naive_comparisons,optimized_comparisons,comparison_saving,timing_repeats,naive_ms_median,optimized_ms_median,naive_order,optimized_order
normalized,q21,bank AND NOT football,142,4258,250,4008,9,1.8685,0.1066,bank(144) football(109),bank(144) football(109)
normalized,q22,music AND NOT film,195,4243,433,3810,9,1.0123,0.1015,music(236) film(239),music(236) film(239)
normalized,q23,minister AND NOT chelsea,295,4126,358,3768,9,1.0356,0.0965,minister(298) chelsea(68),minister(298) chelsea(68)
normalized,q24,investment,130,0,0,0,9,0.0034,0.0034,investment(130),investment(130)
normalized,q25,manager,152,0,0,0,9,0.0033,0.0033,manager(152),manager(152)
normalized,q26,technology,233,0,0,0,9,0.0033,0.0034,technology(233),technology(233)
normalized,q27,players,271,0,0,0,9,0.0033,0.0035,players(271),players(271)
normalized,q28,announced,208,0,0,0,9,0.0017,0.0017,announced(208),announced(208)
normalized,q29,computing,16,0,0,0,9,0.0016,0.0016,computing(16),computing(16)
normalized,q30,winning,166,0,0,0,9,0.0017,0.0017,winning(166),winning(166)
normalized,q31,market AND prices AND oil AND gas,1,630,495,135,9,0.1328,0.1096,market(353) prices(146) oil(109) gas(35),gas(35) oil(109) prices(146) market(353)
normalized,q32,government AND minister AND election AND labour,67,1110,1075,35,9,0.2359,0.2392,government(447) minister(298) election(213) labour(225),election(213) labour(225) minister(298) government(447)
normalized,q33,film AND music AND awards,16,577,520,57,9,0.1177,0.111,film(239) music(236) awards(127),awards(127) music(236) film(239)
nostop,q01,oil,109,0,0,0,9,0.0019,0.002,oil(109),oil(109)
nostop,q02,election,213,0,0,0,9,0.0019,0.0019,election(213),election(213)
nostop,q03,broadband,72,0,0,0,9,0.0019,0.0019,broadband(72),broadband(72)
nostop,q04,chelsea,68,0,0,0,9,0.0019,0.0019,chelsea(68),chelsea(68)
nostop,q05,oscar,56,0,0,0,9,0.0018,0.0019,oscar(56),oscar(56)
nostop,q06,economy,193,0,0,0,9,0.0019,0.0019,economy(193),economy(193)
nostop,q07,software,135,0,0,0,9,0.0019,0.0019,software(135),software(135)
nostop,q08,album,68,0,0,0,9,0.0019,0.0019,album(68),album(68)
nostop,q09,oil AND price,25,224,224,0,9,0.0512,0.0521,oil(109) price(141),oil(109) price(141)
nostop,q10,mobile AND phone,83,165,165,0,9,0.0752,0.0832,mobile(122) phone(127),mobile(122) phone(127)
nostop,q11,football OR rugby,171,165,165,0,9,0.0831,0.0834,football(109) rugby(74),football(109) rugby(74)
