pattern,matches,sample
re*val,3,removal retrieval revival
comput*,13,computational computer computer's computer-augmented computer-based computer-controlled computer-generated computer-implemented computeractive computerandvideogames computerised computers
*ology,15,apology bio-technology biology chronology ecology futurology ideology methodology musicology mythology nano-technology nanotechnology
invest*,18,invest investec invested investigate investigated investigates investigating investigation investigations investigative investigators investing
gov*ment,1,government
f*ball,1,football
